"행정구역","2023년10월_계_총인구수","2023년10월_계_연령구간인구수","2023년10월_계_0~4세","2023년10월_계_5~9세","2023년10월_계_10~14세","2023년10월_계_15~19세","2023년10월_계_20~24세","2023년10월_계_25~29세","2023년10월_계_30~34세","2023년10월_계_35~39세","2023년10월_계_40~44세","2023년10월_계_45~49세","2023년10월_계_50~54세","2023년10월_계_55~59세","2023년10월_계_60~64세","2023년10월_계_65~69세","2023년10월_계_70~74세","2023년10월_계_75~79세","2023년10월_계_80~84세","2023년10월_계_85~89세","2023년10월_계_90~94세","2023년10월_계_95~99세","2023년10월_계_100세 이상","2023년10월_남_총인구수","2023년10월_남_연령구간인구수","2023년10월_남_0~4세","2023년10월_남_5~9세","2023년10월_남_10~14세","2023년10월_남_15~19세","2023년10월_남_20~24세","2023년10월_남_25~29세","2023년10월_남_30~34세","2023년10월_남_35~39세","2023년10월_남_40~44세","2023년10월_남_45~49세","2023년10월_남_50~54세","2023년10월_남_55~59세","2023년10월_남_60~64세","2023년10월_남_65~69세","2023년10월_남_70~74세","2023년10월_남_75~79세","2023년10월_남_80~84세","2023년10월_남_85~89세","2023년10월_남_90~94세","2023년10월_남_95~99세","2023년10월_남_100세 이상","2023년10월_여_총인구수","2023년10월_여_연령구간인구수","2023년10월_여_0~4세","2023년10월_여_5~9세","2023년10월_여_10~14세","2023년10월_여_15~19세","2023년10월_여_20~24세","2023년10월_여_25~29세","2023년10월_여_30~34세","2023년10월_여_35~39세","2023년10월_여_40~44세","2023년10월_여_45~49세","2023년10월_여_50~54세","2023년10월_여_55~59세","2023년10월_여_60~64세","2023년10월_여_65~69세","2023년10월_여_70~74세","2023년10월_여_75~79세","2023년10월_여_80~84세","2023년10월_여_85~89세","2023년10월_여_90~94세","2023년10월_여_95~99세","2023년10월_여_100세 이상"
"경상남도 고성군 (4882000000)","49,488","49,488","563","1,206","1,857","2,104","1,669","1,580","1,355","1,595","2,792","2,910","4,168","4,545","5,721","5,060","3,937","3,060","2,863","1,682","683","128","10","24,952","24,952","276","608","992","1,188","993","936","796","826","1,540","1,594","2,333","2,486","2,930","2,564","1,919","1,365","1,002","459","126","18","1","24,536","24,536","287","598","865","916","676","644","559","769","1,252","1,316","1,835","2,059","2,791","2,496","2,018","1,695","1,861","1,223","557","110","9"
"경상남도 남해군 (4884000000)","40,946","40,946","506","842","1,228","1,370","1,376","1,213","1,062","1,125","1,746","2,201","3,250","3,436","4,734","4,241","3,598","2,974","3,014","1,978","846","187","19","19,968","19,968","253","459","703","724","895","744","606","567","886","1,196","1,802","1,851","2,393","2,131","1,703","1,321","1,022","521","167","23","1","20,978","20,978","253","383","525","646","481","469","456","558","860","1,005","1,448","1,585","2,341","2,110","1,895","1,653","1,992","1,457","679","164","18"
"경상남도 하동군 (4885000000)","41,784","41,784","553","821","1,119","1,300","1,298","1,207","1,096","1,197","1,675","2,245","3,577","3,974","5,243","4,679","3,426","2,859","2,857","1,781","701","158","18","20,917","20,917","291","412","593","722","757","732","594","659","921","1,252","2,005","2,145","2,803","2,460","1,672","1,244","994","494","146","20","1","20,867","20,867","262","409","526","578","541","475","502","538","754","993","1,572","1,829","2,440","2,219","1,754","1,615","1,863","1,287","555","138","17"
"경상남도 산청군 (4886000000)","33,800","33,800","412","589","872","1,009","1,008","978","872","917","1,318","1,654","2,676","3,370","4,345","3,896","2,886","2,363","2,415","1,536","537","128","19","16,759","16,759","203","315","496","530","564","576","483","507","709","898","1,458","1,859","2,272","2,053","1,486","1,033","810","400","92","12","3","17,041","17,041","209","274","376","479","444","402","389","410","609","756","1,218","1,511","2,073","1,843","1,400","1,330","1,605","1,136","445","116","16"
"경상남도 함양군 (4887000000)","37,038","37,038","495","891","1,240","1,462","1,245","1,190","1,014","1,142","1,686","2,052","3,033","3,415","4,248","3,811","2,856","2,423","2,544","1,595","569","111","16","17,971","17,971","263","433","654","777","694","686","564","582","845","1,125","1,634","1,839","2,223","1,898","1,367","1,002","826","427","109","19","4","19,067","19,067","232","458","586","685","551","504","450","560","841","927","1,399","1,576","2,025","1,913","1,489","1,421","1,718","1,168","460","92","12"
"경상남도 거창군 (4888000000)","60,150","60,150","1,132","1,883","2,520","3,159","2,698","2,454","2,083","2,382","3,403","3,642","4,944","5,199","6,231","5,157","3,914","3,176","3,206","2,025","758","159","25","29,626","29,626","590","973","1,325","1,791","1,635","1,408","1,152","1,213","1,702","1,856","2,608","2,667","3,163","2,572","1,813","1,308","1,077","571","172","28","2","30,524","30,524","542","910","1,195","1,368","1,063","1,046","931","1,169","1,701","1,786","2,336","2,532","3,068","2,585","2,101","1,868","2,129","1,454","586","131","23"
"경상남도 합천군 (4889000000)","41,354","41,354","509","678","1,053","1,115","1,157","1,178","998","1,097","1,691","1,917","3,024","3,788","5,294","4,591","3,783","3,068","3,408","2,130","721","123","31","20,192","20,192","266","354","549","589","680","682","584","602","931","1,085","1,710","2,113","2,775","2,388","1,834","1,243","1,085","565","134","20","3","21,162","21,162","243","324","504","526","477","496","414","495","760","832","1,314","1,675","2,519","2,203","1,949","1,825","2,323","1,565","587","103","28"
"제주특별자치도  (5000000000)","676,119","676,119","20,072","31,933","36,558","33,940","35,390","39,243","39,072","39,255","55,593","53,727","62,684","55,498","52,890","40,569","25,936","21,784","16,684","10,104","4,125","766","296","338,391","338,391","10,274","16,412","18,786","17,726","19,102","20,668","20,002","19,607","27,792","27,841","32,304","28,853","26,660","20,001","12,124","9,794","6,444","3,107","805","73","16","337,728","337,728","9,798","15,521","17,772","16,214","16,288","18,575","19,070","19,648","27,801","25,886","30,380","26,645","26,230","20,568","13,812","11,990","10,240","6,997","3,320","693","280"
"제주특별자치도 제주시 (5011000000)","492,233","492,233","15,310","23,769","27,190","25,578","27,210","30,309","30,249","29,747","41,112","39,172","45,763","39,610","36,760","27,768","17,372","14,442","10,810","6,573","2,752","530","207","245,874","245,874","7,777","12,249","13,998","13,303","14,622","15,783","15,507","14,951","20,619","20,058","23,163","20,480","18,397","13,656","8,111","6,457","4,132","2,027","523","50","11","246,359","246,359","7,533","11,520","13,192","12,275","12,588","14,526","14,742","14,796","20,493","19,114","22,600","19,130","18,363","14,112","9,261","7,985","6,678","4,546","2,229","480","196"
"제주특별자치도 서귀포시 (5013000000)","183,886","183,886","4,762","8,164","9,368","8,362","8,180","8,934","8,823","9,508","14,481","14,555","16,921","15,888","16,130","12,801","8,564","7,342","5,874","3,531","1,373","236","89","92,517","92,517","2,497","4,163","4,788","4,423","4,480","4,885","4,495","4,656","7,173","7,783","9,141","8,373","8,263","6,345","4,013","3,337","2,312","1,080","282","23","5","91,369","91,369","2,265","4,001","4,580","3,939","3,700","4,049","4,328","4,852","7,308","6,772","7,780","7,515","7,867","6,456","4,551","4,005","3,562","2,451","1,091","213","84"
