"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~9세","2025년10월_계_10~19세","2025년10월_계_20~29세","2025년10월_계_30~39세","2025년10월_계_40~49세","2025년10월_계_50~59세","2025년10월_계_60~69세","2025년10월_계_70~79세","2025년10월_계_80~89세","2025년10월_계_90~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~9세","2025년10월_남_10~19세","2025년10월_남_20~29세","2025년10월_남_30~39세","2025년10월_남_40~49세","2025년10월_남_50~59세","2025년10월_남_60~69세","2025년10월_남_70~79세","2025년10월_남_80~89세","2025년10월_남_90~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~9세","2025년10월_여_10~19세","2025년10월_여_20~29세","2025년10월_여_30~39세","2025년10월_여_40~49세","2025년10월_여_50~59세","2025년10월_여_60~69세","2025년10월_여_70~79세","2025년10월_여_80~89세","2025년10월_여_90~99세","2025년10월_여_100세 이상"
"서울특별시  (1100000000)","9,313,532","9,313,532","463,761","719,729","1,267,624","1,459,332","1,368,348","1,473,113","1,318,327","819,214","368,261","54,345","1,478","4,489,067","4,489,067","237,978","367,477","593,335","729,571","675,956","724,718","625,088","368,990","150,343","15,292","319","4,824,465","4,824,465","225,783","352,252","674,289","729,761","692,392","748,395","693,239","450,224","217,918","39,053","1,159"
"서울특별시 종로구 (1111000000)","137,449","137,449","5,152","9,275","20,381","19,859","18,296","22,922","20,964","12,462","6,903","1,198","37","65,925","65,925","2,640","4,535","9,478","9,879","8,810","11,242","10,468","5,741","2,746","373","13","71,524","71,524","2,512","4,740","10,903","9,980","9,486","11,680","10,496","6,721","4,157","825","24"
"서울특별시 종로구 청운효자동(1111051500)","10,961","10,961","523","1,012","1,299","1,511","1,726","1,863","1,424","923","575","102","3","4,962","4,962","271","499","636","680","751","854","631","378","232","27","3","5,999","5,999","252","513","663","831","975","1,009","793","545","343","75","0"
"서울특별시 종로구 사직동(1111053000)","8,915","8,915","370","598","1,044","1,432","1,382","1,462","1,277","735","497","111","7","3,922","3,922","185","265","444","636","582","653","591","304","215","43","4","4,993","4,993","185","333","600","796","800","809","686","431","282","68","3"
"서울특별시 종로구 삼청동(1111054000)","2,122","2,122","69","157","217","272","292","323","360","257","144","31","0","1,014","1,014","33","88","121","122","143","152","169","120","58","8","0","1,108","1,108","36","69","96","150","149","171","191","137","86","23","0"
"서울특별시 종로구 부암동(1111055000)","8,960","8,960","339","750","1,027","1,190","1,303","1,601","1,374","825","457","90","4","4,194","4,194","181","401","522","573","588","713","636","364","189","27","0","4,766","4,766","158","349","505","617","715","888","738","461","268","63","4"
"서울특별시 종로구 평창동(1111056000)","17,097","17,097","872","1,525","1,782","1,999","2,404","2,997","2,856","1,568","870","214","10","7,921","7,921","468","760","869","949","1,072","1,326","1,341","728","339","67","2","9,176","9,176","404","765","913","1,050","1,332","1,671","1,515","840","531","147","8"
"서울특별시 종로구 무악동(1111057000)","7,706","7,706","471","858","806","771","1,223","1,372","1,111","657","381","56","0","3,519","3,519","217","359","360","362","565","700","514","282","139","21","0","4,187","4,187","254","499","446","409","658","672","597","375","242","35","0"
"서울특별시 종로구 교남동(1111058000)","9,468","9,468","625","756","1,057","1,388","1,594","1,670","1,168","772","380","58","0","4,323","4,323","299","354","493","616","742","800","533","319","150","17","0","5,145","5,145","326","402","564","772","852","870","635","453","230","41","0"
"서울특별시 종로구 가회동(1111060000)","3,653","3,653","130","291","336","509","570","643","537","382","221","33","1","1,697","1,697","84","148","156","240","262","302","249","170","77","9","0","1,956","1,956","46","143","180","269","308","341","288","212","144","24","1"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,641","6,641","145","220","881","1,043","817","1,053","1,267","782","379","51","3","4,004","4,004","83","118","434","612","487","698","862","501","186","21","2","2,637","2,637","62","102","447","431","330","355","405","281","193","30","1"
"서울특별시 종로구 종로5.6가동(1111063000)","5,321","5,321","140","198","1,072","987","589","770","810","455","265","35","0","2,751","2,751","74","85","466","530","340","430","466","229","120","11","0","2,570","2,570","66","113","606","457","249","340","344","226","145","24","0"
"서울특별시 종로구 이화동(1111064000)","7,089","7,089","148","328","1,559","1,280","800","980","961","616","359","58","0","3,270","3,270","67","163","652","640","394","474","456","272","136","16","0","3,819","3,819","81","165","907","640","406","506","505","344","223","42","0"
"서울특별시 종로구 혜화동(1111065000)","15,772","15,772","441","1,152","4,245","2,068","1,803","2,300","1,719","1,134","778","125","7","7,554","7,554","220","576","2,076","1,084","866","1,106","819","467","303","36","1","8,218","8,218","221","576","2,169","984","937","1,194","900","667","475","89","6"
"서울특별시 종로구 창신제1동(1111067000)","4,444","4,444","101","147","523","610","449","761","1,017","542","263","31","0","2,340","2,340","51","81","265","336","250","390","582","273","105","7","0","2,104","2,104","50","66","258","274","199","371","435","269","158","24","0"
"서울특별시 종로구 창신제2동(1111068000)","7,176","7,176","139","279","781","886","734","1,507","1,554","837","402","56","1","3,692","3,692","69","146","406","514","414","779","816","387","139","21","1","3,484","3,484","70","133","375","372","320","728","738","450","263","35","0"
"서울특별시 종로구 창신제3동(1111069000)","6,153","6,153","247","391","698","911","748","1,119","1,105","582","299","53","0","3,012","3,012","127","187","359","483","372","535","551","270","108","20","0","3,141","3,141","120","204","339","428","376","584","554","312","191","33","0"
"서울특별시 종로구 숭인제1동(1111070000)","5,721","5,721","182","314","690","795","787","1,035","1,001","591","281","44","1","2,779","2,779","95","159","322","415","403","518","481","278","103","5","0","2,942","2,942","87","155","368","380","384","517","520","313","178","39","1"
"서울특별시 종로구 숭인제2동(1111071000)","10,250","10,250","210","299","2,364","2,207","1,075","1,466","1,423","804","352","50","0","4,971","4,971","116","146","897","1,087","579","812","771","399","147","17","0","5,279","5,279","94","153","1,467","1,120","496","654","652","405","205","33","0"
"서울특별시 중구 (1114000000)","118,331","118,331","5,005","5,826","15,900","21,237","16,166","18,002","17,975","11,357","5,850","993","20","56,829","56,829","2,561","2,896","7,080","10,548","8,122","9,040","8,900","5,190","2,226","259","7","61,502","61,502","2,444","2,930","8,820","10,689","8,044","8,962","9,075","6,167","3,624","734","13"
"서울특별시 중구 소공동(1114052000)","2,177","2,177","145","155","206","406","551","333","202","118","53","8","0","998","998","74","57","70","184","258","169","100","58","25","3","0","1,179","1,179","71","98","136","222","293","164","102","60","28","5","0"
"서울특별시 중구 회현동(1114054000)","4,208","4,208","128","203","382","545","469","721","852","581","265","61","1","2,167","2,167","62","107","187","266","231","385","487","302","120","20","0","2,041","2,041","66","96","195","279","238","336","365","279","145","41","1"
"서울특별시 중구 명동(1114055000)","2,491","2,491","50","109","302","318","316","442","456","305","158","35","0","1,021","1,021","29","50","126","156","137","187","176","112","43","5","0","1,470","1,470","21","59","176","162","179","255","280","193","115","30","0"
"서울특별시 중구 필동(1114057000)","4,314","4,314","124","199","828","852","533","567","572","378","201","58","2","2,209","2,209","59","100","415","439","287","326","299","185","87","12","0","2,105","2,105","65","99","413","413","246","241","273","193","114","46","2"
"서울특별시 중구 장충동(1114058000)","4,588","4,588","107","265","1,311","636","476","577","539","411","230","35","1","2,392","2,392","67","114","711","384","241","309","271","189","93","12","1","2,196","2,196","40","151","600","252","235","268","268","222","137","23","0"
"서울특별시 중구 광희동(1114059000)","5,691","5,691","111","170","1,075","1,313","677","703","824","523","260","35","0","2,764","2,764","62","79","413","677","355","379","446","244","102","7","0","2,927","2,927","49","91","662","636","322","324","378","279","158","28","0"
"서울특별시 중구 을지로동(1114060500)","3,000","3,000","134","81","356","866","517","350","361","219","103","13","0","1,605","1,605","62","29","140","475","276","198","234","134","52","5","0","1,395","1,395","72","52","216","391","241","152","127","85","51","8","0"
"서울특별시 중구 신당동(1114061500)","7,420","7,420","207","240","1,169","1,376","961","1,109","1,200","732","364","60","2","3,615","3,615","103","104","450","702","504","606","629","363","142","12","0","3,805","3,805","104","136","719","674","457","503","571","369","222","48","2"
"서울특별시 중구 다산동(1114062500)","13,042","13,042","384","663","1,797","2,174","1,680","2,124","2,105","1,311","696","107","1","6,297","6,297","188","356","869","1,133","833","1,074","954","589","275","26","0","6,745","6,745","196","307","928","1,041","847","1,050","1,151","722","421","81","1"
"서울특별시 중구 약수동(1114063500)","15,800","15,800","743","806","1,594","2,337","2,044","2,543","2,681","1,842","1,026","181","3","7,267","7,267","378","404","763","1,120","983","1,161","1,237","803","373","44","1","8,533","8,533","365","402","831","1,217","1,061","1,382","1,444","1,039","653","137","2"
"서울특별시 중구 청구동(1114064500)","10,788","10,788","516","586","1,177","1,937","1,329","1,693","1,728","1,114","616","91","1","5,015","5,015","257","295","544","954","660","797","794","485","209","20","0","5,773","5,773","259","291","633","983","669","896","934","629","407","71","1"
"서울특별시 중구 신당제5동(1114065000)","9,981","9,981","396","485","1,295","1,887","1,359","1,632","1,537","890","433","66","1","4,833","4,833","200","228","549","933","711","866","779","386","159","21","1","5,148","5,148","196","257","746","954","648","766","758","504","274","45","0"
"서울특별시 중구 동화동(1114066500)","9,773","9,773","541","687","1,020","1,261","1,332","1,701","1,701","942","497","90","1","4,675","4,675","290","353","492","589","663","794","842","449","172","30","1","5,098","5,098","251","334","528","672","669","907","859","493","325","60","0"
"서울특별시 중구 황학동(1114067000)","13,124","13,124","553","466","2,110","3,258","1,896","1,678","1,620","1,023","450","68","2","6,130","6,130","301","226","787","1,587","937","835","810","461","168","17","1","6,994","6,994","252","240","1,323","1,671","959","843","810","562","282","51","1"
"서울특별시 중구 중림동(1114068000)","11,934","11,934","866","711","1,278","2,071","2,026","1,829","1,597","968","498","85","5","5,841","5,841","429","394","564","949","1,046","954","842","430","206","25","2","6,093","6,093","437","317","714","1,122","980","875","755","538","292","60","3"
"서울특별시 용산구 (1117000000)","202,507","202,507","9,908","12,658","26,807","37,317","29,032","32,001","28,344","16,124","8,691","1,572","53","96,459","96,459","5,000","6,444","11,957","18,253","14,345","15,547","13,830","7,242","3,322","500","19","106,048","106,048","4,908","6,214","14,850","19,064","14,687","16,454","14,514","8,882","5,369","1,072","34"
"서울특별시 용산구 후암동(1117051000)","15,663","15,663","579","1,050","2,011","2,845","2,185","2,514","2,294","1,356","721","101","7","7,481","7,481","304","566","948","1,445","1,063","1,218","1,071","596","244","24","2","8,182","8,182","275","484","1,063","1,400","1,122","1,296","1,223","760","477","77","5"
"서울특별시 용산구 용산2가동(1117052000)","8,502","8,502","201","381","1,191","1,694","1,125","1,191","1,245","902","490","81","1","4,188","4,188","103","199","616","909","610","564","575","390","203","19","0","4,314","4,314","98","182","575","785","515","627","670","512","287","62","1"
"서울특별시 용산구 남영동(1117053000)","6,973","6,973","120","188","824","1,313","758","1,310","1,442","672","299","44","3","4,233","4,233","63","105","380","731","451","895","1,023","422","143","19","1","2,740","2,740","57","83","444","582","307","415","419","250","156","25","2"
"서울특별시 용산구 청파동(1117055500)","18,640","18,640","433","882","3,894","3,533","2,116","2,851","2,548","1,490","785","103","5","8,586","8,586","218","426","1,431","1,811","1,087","1,442","1,227","617","300","25","2","10,054","10,054","215","456","2,463","1,722","1,029","1,409","1,321","873","485","78","3"
"서울특별시 용산구 원효로제1동(1117056000)","17,087","17,087","1,021","922","2,695","4,305","2,609","2,294","1,818","945","401","76","1","7,813","7,813","518","483","984","1,964","1,256","1,129","862","443","144","30","0","9,274","9,274","503","439","1,711","2,341","1,353","1,165","956","502","257","46","1"
"서울특별시 용산구 원효로제2동(1117057000)","13,415","13,415","693","917","1,752","2,422","1,842","2,148","1,907","1,063","568","101","2","6,241","6,241","328","427","729","1,146","911","1,054","923","476","220","27","0","7,174","7,174","365","490","1,023","1,276","931","1,094","984","587","348","74","2"
"서울특별시 용산구 효창동(1117058000)","10,409","10,409","622","678","1,386","2,084","1,574","1,668","1,251","675","399","70","2","4,897","4,897","299","352","615","1,016","770","768","618","286","153","19","1","5,512","5,512","323","326","771","1,068","804","900","633","389","246","51","1"
"서울특별시 용산구 용문동(1117059000)","11,085","11,085","543","597","1,454","2,004","1,449","1,795","1,592","1,050","535","60","6","5,221","5,221","262","296","684","983","726","861","753","432","206","16","2","5,864","5,864","281","301","770","1,021","723","934","839","618","329","44","4"
"서울특별시 용산구 한강로동(1117062500)","20,985","20,985","1,199","919","2,939","4,957","2,896","3,088","2,796","1,380","683","125","3","9,901","9,901","603","463","1,238","2,309","1,423","1,446","1,403","694","282","40","0","11,084","11,084","596","456","1,701","2,648","1,473","1,642","1,393","686","401","85","3"
"서울특별시 용산구 이촌제1동(1117063000)","24,957","24,957","2,047","2,596","2,473","2,995","4,090","4,387","3,179","1,733","1,165","285","7","11,693","11,693","1,050","1,316","1,215","1,324","1,885","2,053","1,542","776","430","100","2","13,264","13,264","997","1,280","1,258","1,671","2,205","2,334","1,637","957","735","185","5"
"서울특별시 용산구 이촌제2동(1117064000)","7,717","7,717","394","417","741","1,332","1,126","1,169","1,273","790","402","71","2","3,615","3,615","190","200","360","676","576","535","563","342","150","22","1","4,102","4,102","204","217","381","656","550","634","710","448","252","49","1"
"서울특별시 용산구 이태원제1동(1117065000)","5,949","5,949","189","240","729","1,188","765","879","986","586","315","69","3","2,946","2,946","91","118","374","665","407","417","487","245","115","26","1","3,003","3,003","98","122","355","523","358","462","499","341","200","43","2"
"서울특별시 용산구 이태원제2동(1117066000)","8,407","8,407","288","416","1,105","1,680","1,254","1,219","1,159","724","475","86","1","3,984","3,984","155","197","550","868","612","579","508","305","175","34","1","4,423","4,423","133","219","555","812","642","640","651","419","300","52","0"
"서울특별시 용산구 한남동(1117068500)","13,791","13,791","830","876","1,405","2,473","2,358","2,195","1,828","1,160","568","96","2","6,454","6,454","424","463","678","1,114","1,131","1,007","848","511","245","32","1","7,337","7,337","406","413","727","1,359","1,227","1,188","980","649","323","64","1"
"서울특별시 용산구 서빙고동(1117069000)","12,101","12,101","601","1,251","1,444","1,443","1,984","2,071","1,731","878","544","146","8","5,809","5,809","309","633","730","695","959","981","853","407","184","53","5","6,292","6,292","292","618","714","748","1,025","1,090","878","471","360","93","3"
"서울특별시 용산구 보광동(1117070000)","6,826","6,826","148","328","764","1,049","901","1,222","1,295","720","341","58","0","3,397","3,397","83","200","425","597","478","598","574","300","128","14","0","3,429","3,429","65","128","339","452","423","624","721","420","213","44","0"
"서울특별시 성동구 (1120000000)","274,424","274,424","15,637","17,263","38,194","47,859","39,552","42,929","38,401","22,103","10,899","1,552","35","132,555","132,555","8,076","8,567","18,192","23,536","19,823","20,968","18,809","9,946","4,211","418","9","141,869","141,869","7,561","8,696","20,002","24,323","19,729","21,961","19,592","12,157","6,688","1,134","26"
"서울특별시 성동구 왕십리제2동(1120052000)","15,763","15,763","936","1,002","2,007","2,923","2,248","2,504","2,199","1,276","580","85","3","7,514","7,514","467","495","921","1,431","1,117","1,222","1,051","564","226","19","1","8,249","8,249","469","507","1,086","1,492","1,131","1,282","1,148","712","354","66","2"
"서울특별시 성동구 왕십리도선동(1120053500)","25,602","25,602","1,817","1,651","3,539","4,497","3,797","4,084","3,273","1,834","972","136","2","12,054","12,054","993","825","1,507","2,059","1,885","1,923","1,630","815","384","33","0","13,548","13,548","824","826","2,032","2,438","1,912","2,161","1,643","1,019","588","103","2"
"서울특별시 성동구 마장동(1120054000)","21,485","21,485","881","1,340","4,017","3,405","2,447","3,275","3,121","1,927","932","138","2","10,505","10,505","467","656","1,946","1,778","1,245","1,602","1,521","896","355","39","0","10,980","10,980","414","684","2,071","1,627","1,202","1,673","1,600","1,031","577","99","2"
"서울특별시 성동구 사근동(1120055000)","12,016","12,016","255","726","5,027","1,589","999","1,275","981","696","432","36","0","6,246","6,246","141","309","2,734","947","541","597","492","294","176","15","0","5,770","5,770","114","417","2,293","642","458","678","489","402","256","21","0"
"서울특별시 성동구 행당제1동(1120056000)","15,223","15,223","933","1,044","2,188","2,788","2,262","2,358","1,930","1,073","563","79","5","7,219","7,219","481","509","978","1,346","1,123","1,112","942","483","229","14","2","8,004","8,004","452","535","1,210","1,442","1,139","1,246","988","590","334","65","3"
"서울특별시 성동구 행당제2동(1120057000)","22,385","22,385","1,491","1,791","2,376","3,507","3,359","3,874","3,007","1,890","943","142","5","10,416","10,416","738","811","1,078","1,666","1,634","1,850","1,435","813","343","47","1","11,969","11,969","753","980","1,298","1,841","1,725","2,024","1,572","1,077","600","95","4"
"서울특별시 성동구 응봉동(1120058000)","14,458","14,458","885","1,387","1,523","2,065","2,403","2,521","1,810","1,148","631","85","0","6,851","6,851","472","704","713","999","1,116","1,210","875","488","243","31","0","7,607","7,607","413","683","810","1,066","1,287","1,311","935","660","388","54","0"
"서울특별시 성동구 금호1가동(1120059000)","14,304","14,304","963","1,011","1,342","2,262","2,423","2,232","2,086","1,304","574","105","2","6,785","6,785","499","510","649","1,069","1,235","1,078","941","581","200","23","0","7,519","7,519","464","501","693","1,193","1,188","1,154","1,145","723","374","82","2"
"서울특별시 성동구 금호2.3가동(1120061500)","20,619","20,619","1,381","1,135","2,101","3,763","3,265","3,267","2,927","1,774","884","116","6","9,783","9,783","700","587","1,022","1,805","1,627","1,573","1,341","766","330","30","2","10,836","10,836","681","548","1,079","1,958","1,638","1,694","1,586","1,008","554","86","4"
"서울특별시 성동구 금호4가동(1120062000)","13,904","13,904","1,057","914","1,177","2,410","2,449","2,100","1,910","1,208","576","101","2","6,527","6,527","543","474","554","1,133","1,203","1,003","870","512","208","26","1","7,377","7,377","514","440","623","1,277","1,246","1,097","1,040","696","368","75","1"
"서울특별시 성동구 옥수동(1120064500)","25,081","25,081","2,141","1,636","2,194","4,587","4,361","3,661","3,412","1,951","976","158","4","11,651","11,651","1,079","832","1,016","2,095","2,131","1,715","1,513","869","362","37","2","13,430","13,430","1,062","804","1,178","2,492","2,230","1,946","1,899","1,082","614","121","2"
"서울특별시 성동구 성수1가제1동(1120065000)","14,967","14,967","747","814","1,950","2,885","1,935","2,577","2,473","1,066","452","67","1","7,391","7,391","367","434","967","1,429","974","1,221","1,287","526","168","18","0","7,576","7,576","380","380","983","1,456","961","1,356","1,186","540","284","49","1"
"서울특별시 성동구 성수1가제2동(1120066000)","13,243","13,243","696","743","1,799","2,702","1,939","2,056","1,829","964","465","50","0","6,411","6,411","357","375","862","1,322","951","1,012","883","446","195","8","0","6,832","6,832","339","368","937","1,380","988","1,044","946","518","270","42","0"
"서울특별시 성동구 성수2가제1동(1120067000)","13,732","13,732","485","646","1,593","2,300","1,755","2,280","2,714","1,311","568","80","0","7,085","7,085","259","304","802","1,247","929","1,184","1,480","621","236","23","0","6,647","6,647","226","342","791","1,053","826","1,096","1,234","690","332","57","0"
"서울특별시 성동구 성수2가제3동(1120069000)","9,522","9,522","357","468","1,419","1,819","1,282","1,452","1,401","828","437","58","1","4,677","4,677","186","249","650","888","652","729","721","399","182","21","0","4,845","4,845","171","219","769","931","630","723","680","429","255","37","1"
"서울특별시 성동구 송정동(1120072000)","9,209","9,209","301","435","1,262","1,576","1,235","1,526","1,643","850","335","46","0","4,827","4,827","169","224","632","863","681","838","873","403","129","15","0","4,382","4,382","132","211","630","713","554","688","770","447","206","31","0"
"서울특별시 성동구 용답동(1120079000)","12,911","12,911","311","520","2,680","2,781","1,393","1,887","1,685","1,003","579","70","2","6,613","6,613","158","269","1,161","1,459","779","1,099","954","470","245","19","0","6,298","6,298","153","251","1,519","1,322","614","788","731","533","334","51","2"
"서울특별시 광진구 (1121500000)","331,786","331,786","13,571","22,892","55,481","56,675","46,098","51,298","45,904","26,251","11,811","1,762","43","158,814","158,814","6,935","11,553","25,397","28,131","22,560","24,854","22,047","11,917","4,911","496","13","172,972","172,972","6,636","11,339","30,084","28,544","23,538","26,444","23,857","14,334","6,900","1,266","30"
"서울특별시 광진구 화양동(1121571000)","22,861","22,861","265","666","9,878","4,919","1,945","1,896","1,553","1,145","533","60","1","10,778","10,778","136","272","4,162","2,557","1,041","1,042","792","514","240","22","0","12,083","12,083","129","394","5,716","2,362","904","854","761","631","293","38","1"
"서울특별시 광진구 군자동(1121573000)","18,507","18,507","516","924","4,023","3,392","2,354","2,471","2,502","1,492","735","95","3","9,070","9,070","272","509","1,905","1,719","1,196","1,233","1,230","689","298","19","0","9,437","9,437","244","415","2,118","1,673","1,158","1,238","1,272","803","437","76","3"
"서울특별시 광진구 중곡제1동(1121574000)","14,901","14,901","440","643","2,512","3,131","1,881","2,204","2,201","1,225","591","72","1","7,058","7,058","224","349","1,025","1,515","991","1,089","1,041","555","255","14","0","7,843","7,843","216","294","1,487","1,616","890","1,115","1,160","670","336","58","1"
"서울특별시 광진구 중곡제2동(1121575000)","19,791","19,791","644","1,155","2,992","3,604","2,593","3,179","3,067","1,755","719","82","1","9,323","9,323","324","605","1,342","1,780","1,282","1,467","1,419","769","315","20","0","10,468","10,468","320","550","1,650","1,824","1,311","1,712","1,648","986","404","62","1"
"서울특별시 광진구 중곡제3동(1121576000)","15,229","15,229","501","717","2,118","2,762","1,903","2,438","2,581","1,466","670","72","1","7,466","7,466","281","377","961","1,458","1,016","1,180","1,256","646","268","23","0","7,763","7,763","220","340","1,157","1,304","887","1,258","1,325","820","402","49","1"
"서울특별시 광진구 중곡제4동(1121577000)","26,781","26,781","810","1,530","3,399","4,063","3,294","4,755","4,880","2,745","1,156","145","4","12,953","12,953","418","790","1,689","2,090","1,656","2,203","2,314","1,268","490","33","2","13,828","13,828","392","740","1,710","1,973","1,638","2,552","2,566","1,477","666","112","2"
"서울특별시 광진구 능동(1121578000)","10,804","10,804","361","494","2,071","2,429","1,555","1,410","1,241","824","381","38","0","4,988","4,988","180","246","912","1,145","721","681","554","370","166","13","0","5,816","5,816","181","248","1,159","1,284","834","729","687","454","215","25","0"
"서울특별시 광진구 광장동(1121581000)","33,017","33,017","2,328","5,031","3,547","3,352","6,456","5,828","3,589","1,793","894","195","4","15,992","15,992","1,209","2,562","1,800","1,517","2,904","2,930","1,766","883","349","69","3","17,025","17,025","1,119","2,469","1,747","1,835","3,552","2,898","1,823","910","545","126","1"
"서울특별시 광진구 자양제1동(1121582000)","21,573","21,573","595","1,287","3,728","3,946","2,949","3,305","3,077","1,729","850","105","2","10,349","10,349","303","662","1,775","1,983","1,456","1,618","1,472","712","343","25","0","11,224","11,224","292","625","1,953","1,963","1,493","1,687","1,605","1,017","507","80","2"
"서울특별시 광진구 자양제2동(1121583000)","26,390","26,390","1,541","1,844","3,413","4,885","3,838","4,078","3,700","2,113","849","127","2","12,722","12,722","746","923","1,643","2,424","1,919","1,925","1,758","998","349","36","1","13,668","13,668","795","921","1,770","2,461","1,919","2,153","1,942","1,115","500","91","1"
"서울특별시 광진구 자양제3동(1121584000)","26,730","26,730","1,725","2,286","3,311","3,825","4,092","4,369","3,828","2,092","968","223","11","12,789","12,789","915","1,124","1,603","1,829","1,924","2,094","1,829","988","408","71","4","13,941","13,941","810","1,162","1,708","1,996","2,168","2,275","1,999","1,104","560","152","7"
"서울특별시 광진구 자양제4동(1121584700)","19,868","19,868","664","830","3,119","3,750","2,410","3,051","3,145","1,948","810","138","3","9,704","9,704","321","400","1,392","1,973","1,209","1,583","1,593","871","319","42","1","10,164","10,164","343","430","1,727","1,777","1,201","1,468","1,552","1,077","491","96","2"
"서울특별시 광진구 구의제1동(1121585000)","22,875","22,875","690","1,202","4,567","4,579","3,067","3,439","2,886","1,594","743","104","4","10,806","10,806","350","575","2,023","2,250","1,530","1,674","1,379","685","311","29","0","12,069","12,069","340","627","2,544","2,329","1,537","1,765","1,507","909","432","75","4"
"서울특별시 광진구 구의제2동(1121586000)","24,913","24,913","1,078","1,971","3,073","3,539","3,674","4,355","3,843","2,254","983","139","4","11,821","11,821","534","1,009","1,485","1,728","1,767","2,060","1,800","1,000","402","36","0","13,092","13,092","544","962","1,588","1,811","1,907","2,295","2,043","1,254","581","103","4"
"서울특별시 광진구 구의제3동(1121587000)","27,546","27,546","1,413","2,312","3,730","4,499","4,087","4,520","3,811","2,076","929","167","2","12,995","12,995","722","1,150","1,680","2,163","1,948","2,075","1,844","969","398","44","2","14,551","14,551","691","1,162","2,050","2,336","2,139","2,445","1,967","1,107","531","123","0"
"서울특별시 동대문구 (1123000000)","344,357","344,357","17,312","22,701","55,313","52,857","47,486","52,174","48,552","30,792","15,088","2,026","56","167,961","167,961","8,785","11,493","25,887","26,943","24,261","26,310","23,752","13,902","6,026","590","12","176,396","176,396","8,527","11,208","29,426","25,914","23,225","25,864","24,800","16,890","9,062","1,436","44"
"서울특별시 동대문구 신설동(1123051500)","16,399","16,399","805","825","3,136","3,468","2,297","2,259","1,971","1,054","517","66","1","8,073","8,073","413","447","1,362","1,664","1,191","1,199","1,064","496","215","22","0","8,326","8,326","392","378","1,774","1,804","1,106","1,060","907","558","302","44","1"
"서울특별시 동대문구 용두동(1123053300)","22,547","22,547","952","1,075","3,728","3,886","3,117","3,505","3,150","1,967","1,023","141","3","11,073","11,073","479","538","1,715","1,981","1,616","1,791","1,611","893","405","43","1","11,474","11,474","473","537","2,013","1,905","1,501","1,714","1,539","1,074","618","98","2"
"서울특별시 동대문구 제기동(1123054500)","22,596","22,596","700","1,090","4,302","3,166","2,402","3,316","3,575","2,525","1,337","176","7","11,581","11,581","348","592","2,240","1,771","1,324","1,769","1,806","1,137","544","50","0","11,015","11,015","352","498","2,062","1,395","1,078","1,547","1,769","1,388","793","126","7"
"서울특별시 동대문구 전농제1동(1123056000)","32,353","32,353","1,781","2,118","4,703","4,739","4,595","5,326","4,691","2,805","1,384","204","7","16,055","16,055","895","1,058","2,241","2,478","2,352","2,734","2,415","1,284","539","59","0","16,298","16,298","886","1,060","2,462","2,261","2,243","2,592","2,276","1,521","845","145","7"
"서울특별시 동대문구 전농제2동(1123057000)","17,412","17,412","867","1,423","1,841","2,167","2,398","3,022","2,870","1,768","946","106","4","8,281","8,281","430","693","912","1,093","1,186","1,473","1,316","763","375","39","1","9,131","9,131","437","730","929","1,074","1,212","1,549","1,554","1,005","571","67","3"
"서울특별시 동대문구 답십리제1동(1123060000)","27,339","27,339","1,978","1,911","3,607","4,889","4,542","3,885","3,479","1,964","947","134","3","13,019","13,019","1,022","948","1,488","2,318","2,315","1,929","1,709","885","372","33","0","14,320","14,320","956","963","2,119","2,571","2,227","1,956","1,770","1,079","575","101","3"
"서울특별시 동대문구 답십리제2동(1123061000)","27,379","27,379","1,508","1,624","2,875","4,501","3,652","4,410","4,455","2,802","1,375","174","3","13,105","13,105","732","798","1,378","2,276","1,860","2,135","2,080","1,255","541","50","0","14,274","14,274","776","826","1,497","2,225","1,792","2,275","2,375","1,547","834","124","3"
"서울특별시 동대문구 장안제1동(1123065000)","37,155","37,155","1,769","2,497","4,651","5,975","5,793","5,727","5,639","3,527","1,403","169","5","18,165","18,165","939","1,246","2,050","3,033","2,989","2,911","2,697","1,639","615","44","2","18,990","18,990","830","1,251","2,601","2,942","2,804","2,816","2,942","1,888","788","125","3"
"서울특별시 동대문구 장안제2동(1123066000)","32,868","32,868","2,308","2,895","3,548","4,868","5,628","5,059","4,521","2,796","1,105","139","1","16,177","16,177","1,182","1,582","1,687","2,429","2,787","2,575","2,171","1,273","459","32","0","16,691","16,691","1,126","1,313","1,861","2,439","2,841","2,484","2,350","1,523","646","107","1"
"서울특별시 동대문구 청량리동(1123070500)","18,045","18,045","510","840","2,011","2,122","1,990","2,824","3,677","2,542","1,293","230","6","8,837","8,837","243","461","981","1,130","1,066","1,428","1,816","1,159","486","63","4","9,208","9,208","267","379","1,030","992","924","1,396","1,861","1,383","807","167","2"
"서울특별시 동대문구 회기동(1123071000)","10,150","10,150","275","679","3,389","1,502","1,057","1,193","903","670","418","62","2","4,778","4,778","139","329","1,513","817","500","609","413","280","157","19","2","5,372","5,372","136","350","1,876","685","557","584","490","390","261","43","0"
